Comment,Designator,Footprint,LCSC,Quantity
100,R22,R_0603,C22775,1
100k,"R20,R26,R28,R30,R32",R_0603,C25803,5
100n,"C3,C4,C6",C_0603,C14663,3
100p,C15,C_0603,C14858,1
10k,"R11,R13,R3,R5",R_0603,C25804,4
10u,"C2,C5",C_0805,C15850,2
1n,C16,C_0603,C1588,1
200k,R19,R_0603,C25811,1
330,"R27,R29,R31,R33",R_0603,C23138,4
33k,R21,R_0603,C4216,1
33p,"C18,C19,C20,C21",C_0603,C1663,4
470,"R10,R17,R18,R9",R_0603,C23179,4
6k8,"R12,R14,R4,R6",R_0603,C23212,4
9.1k,"R15,R16,R7,R8",R_0603,C23260,4
BC847,"Q2,Q3,Q4,Q5",SOT-23,C8664,4
MCP4728A1,U5,MSOP-10_3x3mm_P0.5mm,C627342,1
MCP6001-OT,U2,SOT-23-5,C116490,1
MCP6004,U1,SOIC-14_3.9x8.7mm_P1.27mm,C7378,1
