Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C15,100p,C_0603,124.77919,-40.25,180.0,bottom
C16,1n,C_0603,120.82919,-41.95,180.0,bottom
C18,33p,C_0603,132.0,-56.5,180.0,bottom
C19,33p,C_0603,118.0,-46.6,270.0,bottom
C2,10u,C_0805,121.6,-118.75,90.0,bottom
C20,33p,C_0603,131.85,-48.5,180.0,bottom
C21,33p,C_0603,119.25,-56.5,0.0,bottom
C3,100n,C_0603,123.4,-118.75,90.0,bottom
C4,100n,C_0603,129.65419,-40.3,180.0,bottom
C5,10u,C_0805,127.575,-48.75,180.0,bottom
C6,100n,C_0603,123.85,-48.75,0.0,bottom
Q2,BC847,SOT-23,125.125,-65.425,90.0,bottom
Q3,BC847,SOT-23,125.4,-79.95,90.0,bottom
Q4,BC847,SOT-23,125.4,-94.55,90.0,bottom
Q5,BC847,SOT-23,125.55,-108.3,90.0,bottom
R10,470,R_0603,132.025,-58.2,180.0,bottom
R11,10k,R_0603,131.85,-54.975,0.0,bottom
R12,6k8,R_0603,131.85,-53.325,0.0,bottom
R13,10k,R_0603,119.225,-63.025,180.0,bottom
R14,6k8,R_0603,119.225,-61.35,180.0,bottom
R15,9.1k,R_0603,131.85,-51.65,180.0,bottom
R16,9.1k,R_0603,119.225,-59.675,0.0,bottom
R17,470,R_0603,131.85,-50.0,180.0,bottom
R18,470,R_0603,119.225,-58.0,0.0,bottom
R19,200k,R_0603,124.77919,-43.725,0.0,bottom
R20,100k,R_0603,120.82919,-43.725,180.0,bottom
R21,33k,R_0603,124.77919,-41.95,180.0,bottom
R22,100,R_0603,132.72919,-43.15,90.0,bottom
R26,100k,R_0603,123.325,-68.0,180.0,bottom
R27,330,R_0603,123.45,-62.825,0.0,bottom
R28,100k,R_0603,123.65,-82.525,180.0,bottom
R29,330,R_0603,123.825,-77.25,0.0,bottom
R3,10k,R_0603,119.225,-54.325,180.0,bottom
R30,100k,R_0603,123.5,-97.075,180.0,bottom
R31,330,R_0603,123.55,-91.875,0.0,bottom
R32,100k,R_0603,123.375,-111.0,180.0,bottom
R33,330,R_0603,123.475,-105.775,0.0,bottom
R4,6k8,R_0603,119.225,-52.625,180.0,bottom
R5,10k,R_0603,132.025,-63.3,0.0,bottom
R6,6k8,R_0603,132.025,-61.575,0.0,bottom
R7,9.1k,R_0603,119.225,-50.9,0.0,bottom
R8,9.1k,R_0603,132.025,-59.875,180.0,bottom
R9,470,R_0603,119.225,-49.2,180.0,bottom
U1,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,125.5615,-53.35,180.0,bottom
U2,MCP6001-OT,SOT-23-5,129.35419,-43.125,270.0,bottom
U5,MCP4728A1,MSOP-10_3x3mm_P0.5mm,118.8,-118.652888,90.0,bottom
