Comment,Designator,Footprint,LCSC,Quantity
1.5k,R17,R_0805_2012Metric,C4310,1
100k,"R18,R20,R22,R27",R_0603,C25803,4
100n,"C1,C14,C15,C29,C3,C6,C9",C_0603,C14663,7
100p,"C26,C27,C28",C_0603,C14858,3
10k,"R1,R3,R5,R7",R_0603,C25804,4
10n,"C30,C31",C_0603,C57112,2
10u,"C13,C5",C_0805,C15850,2
10u,"C12,C2,C4,C7,C8",CP_Elec_4x5.4,C3343,5
10uF,C25,C_0603_1608Metric,C96446,1
1N4148WS,D1,D_SOD-323,C2128,1
1N5819WS,"D6,D7",D_SOD-323,C191023,2
1n,"C22,C23,C24",C_0603,C1588,3
2.2u,C17,CP_Elec_4x5.4,C43242,1
200k,"R19,R21,R24",R_0603,C25811,3
220n,"C10,C11,C16",C_0603,C21120,3
3.3k,"R31,R32",R_0603,C22978,2
33k,"R28,R29,R30",R_0603,C4216,3
33p,"C18,C19,C20,C21",C_0603,C1663,4
4.7k,"R23,R25,R26",R_0603,C23162,3
470,"R10,R11,R12,R9",R_0603,C23179,4
6k8,"R2,R4,R6,R8",R_0603,C23212,4
9.1k,"R13,R14,R15,R16",R_0603,C23260,4
FerriteBead,"FB1,FB2",L_0805_2012Metric,C1015,2
L78L05,U4,SOT89-3,C42738,1
L78M05CDT,U2,TO-252-2,C58069,1
LM4040LP-10,U3,SOT-23,C201738,1
MCP1700x-300xxTT,U6,SOT-23,C39051,1
MCP4728A0,U5,MSOP-10_3x3mm_P0.5mm,C627341,1
MCP6004,"U1,U7",SOIC-14_3.9x8.7mm_P1.27mm,C7378,2
