Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603,132.725,-120.15,-90.0,top
C10,220n,C_0603,113.283928,-95.25,180.0,top
C11,220n,C_0603,131.258928,-82.2,180.0,top
C12,10u,CP_Elec_4x5.4,130.483928,-85.525,0.0,top
C13,10u,C_0805,121.868736,-122.275,0.0,top
C14,100n,C_0603,118.443736,-122.275,180.0,top
C15,100n,C_0603,132.5,-78.05,0.0,top
C16,220n,C_0603,120.383928,-109.275,180.0,top
C17,2.2u,CP_Elec_4x5.4,113.208928,-106.45,90.0,top
C18,33p,C_0603,131.5,-135.55,90.0,top
C19,33p,C_0603,114.0,-137.3,90.0,top
C2,10u,CP_Elec_4x5.4,120.433928,-102.525,90.0,top
C20,33p,C_0603,109.75,-136.55,180.0,top
C21,33p,C_0603,123.5,-135.8,90.0,top
C22,1n,C_0603,130.0,-67.65,90.0,top
C23,1n,C_0603,130.0,-71.05,-90.0,top
C24,1n,C_0603,130.0,-74.55,90.0,top
C25,10uF,C_0603_1608Metric,116.25,-52.55,180.0,top
C26,100p,C_0603,118.5,-64.8,90.0,top
C27,100p,C_0603,121.0,-64.8,90.0,top
C28,100p,C_0603,114.25,-64.8,90.0,top
C29,100n,C_0603,119.5,-52.55,0.0,top
C3,100n,C_0603,117.058928,-102.325,90.0,top
C30,10n,C_0603,111.0,-82.3,0.0,top
C31,10n,C_0603,111.0,-83.8,0.0,top
C4,10u,CP_Elec_4x5.4,127.55,-120.25,0.0,top
C5,10u,C_0805,117.883928,-81.55,0.0,top
C6,100n,C_0603,117.883928,-79.55,0.0,top
C7,10u,CP_Elec_4x5.4,113.233928,-99.55,-90.0,top
C8,10u,CP_Elec_4x5.4,123.558928,-85.425,180.0,top
C9,100n,C_0603,116.458928,-92.075,180.0,top
D1,1N4148WS,D_SOD-323,113.258928,-93.275,0.0,top
D6,1N5819WS,D_SOD-323,124.208928,-95.9,-90.0,top
D7,1N5819WS,D_SOD-323,124.208928,-103.05,90.0,top
FB1,FerriteBead,L_0805_2012Metric,124.308928,-99.475,-90.0,top
FB2,FerriteBead,L_0805_2012Metric,123.408928,-105.9,180.0,top
R1,10k,R_0603,110.633928,-87.55,-90.0,top
R10,470,R_0603,116.506236,-138.225,0.0,top
R11,470,R_0603,123.331236,-138.225,180.0,top
R12,470,R_0603,109.731236,-138.225,180.0,top
R13,9.1k,R_0603,128.568736,-135.75,-90.0,top
R14,9.1k,R_0603,118.218736,-135.75,-90.0,top
R15,9.1k,R_0603,121.893736,-135.775,-90.0,top
R16,9.1k,R_0603,107.25,-135.625,-90.0,top
R17,1.5k,R_0805_2012Metric,131.183928,-79.925,180.0,top
R18,100k,R_0603,107.5,-72.3,-90.0,top
R19,200k,R_0603,117.0,-68.05,90.0,top
R2,6k8,R_0603,125.443736,-124.7,90.0,top
R20,100k,R_0603,118.5,-68.05,90.0,top
R21,200k,R_0603,121.0,-68.05,90.0,top
R22,100k,R_0603,122.5,-68.05,90.0,top
R23,4.7k,R_0603,113.883928,-76.3,90.0,top
R24,200k,R_0603,112.75,-68.05,90.0,top
R25,4.7k,R_0603,115.883928,-76.3,90.0,top
R26,4.7k,R_0603,111.883928,-76.3,-90.0,top
R27,100k,R_0603,114.25,-68.05,90.0,top
R28,33k,R_0603,117.0,-64.8,90.0,top
R29,33k,R_0603,122.5,-64.8,90.0,top
R3,10k,R_0603,114.633928,-87.55,-90.0,top
R30,33k,R_0603,112.75,-64.8,90.0,top
R31,3.3k,R_0603,107.5,-68.15,-90.0,top
R32,3.3k,R_0603,107.5,-64.65,90.0,top
R4,6k8,R_0603,114.293736,-124.725,90.0,top
R5,10k,R_0603,112.633928,-87.55,-90.0,top
R6,6k8,R_0603,115.668736,-135.425,90.0,top
R7,10k,R_0603,116.633928,-87.55,-90.0,top
R8,6k8,R_0603,125.568736,-135.675,90.0,top
R9,470,R_0603,130.131236,-138.225,180.0,top
U1,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,119.793736,-128.52,180.0,top
U2,L78M05CDT,TO-252-2,128.55,-112.926,0.0,top
U3,LM4040LP-10,SOT-23,126.933928,-81.375,90.0,top
U4,L78L05,SOT89-3,118.783178,-95.675,0.0,top
U5,MCP4728A0,MSOP-10_3x3mm_P0.5mm,114.5,-81.8,-90.0,top
U6,MCP1700x-300xxTT,SOT-23,117.658928,-107.85,270.0,top
U7,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,118.0,-58.05,270.0,top
