Comment,Designator,Footprint,LCSC,Quantity
18k,R14,R_AXIAL-0.3,,1
IN3,J2,THONKICONN_1,,1
33k,R15,R_AXIAL-0.3,,1
18k,R19,R_AXIAL-0.3,,1
33k,R21,R_AXIAL-0.3,,1
470/Jmp,R13,R_AXIAL-0.3,,1
470/Jmp,R20,R_AXIAL-0.3,,1
BAT43,D1,D_DO-35_SOD27_P7.62MM_HORIZONTAL,,1
33k,R18,R_AXIAL-0.3,,1
3k3,R16,R_AXIAL-0.3,,1
BAT43,D6,D_DO-35_SOD27_P7.62MM_HORIZONTAL,,1
BAT43,D4,D_DO-35_SOD27_P7.62MM_HORIZONTAL,,1
ALPS_ENCODER+PUSHSWITCHNORMAL,1,ENCODER+SWITCH,,1
O4,J1,THONKICONN_1,,1
O1,J3,THONKICONN_1,,1
IN1,J4,THONKICONN_1,,1
IN2,J5,THONKICONN_1,,1
O2,J6,THONKICONN_1,,1
O3,J7,THONKICONN_1,,1
3k3,R17,R_AXIAL-0.3,,1
10n,C7,RAD-0.1,,1
10n,C8,RAD-0.1,,1
10n,C9,RAD-0.1,,1
10n,C10,RAD-0.1,,1
BAT43,D2,D_DO-35_SOD27_P7.62MM_HORIZONTAL,,1
BAT43,D3,D_DO-35_SOD27_P7.62MM_HORIZONTAL,,1
BAT43,D5,D_DO-35_SOD27_P7.62MM_HORIZONTAL,,1
Header-Male-2.54_1x8,H1,HDR-TH_8P-P2.54-V-M,,1
Header-Male-2.54_1x8,H2,HDR-TH_8P-P2.54-V-M,,1
