Comment,Designator,Footprint,LCSC,Quantity
Conn_01x08,J2,PinSocket_1x08_P2.54mm_Vertical,,1
Conn_01x08,J1,PinSocket_1x08_P2.54mm_Vertical,,1
Power Jumper,J3,Pins_1x03_2.54mm_TH,,1
MCP4758 Board,J4,PinHeader_1x10_P2.54mm_Vertical,,1
POWER IN,J5,PinHeader_2x08_P2.54mm_Vertical,,1
Conn_01x07,J6,PinSocket_1x07_P2.54mm_Vertical,,1
Conn_01x07,J7,PinSocket_1x07_P2.54mm_Vertical,,1
10k,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
6k8,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
470,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
10k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
6k8,R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
10u,C2,CP_Radial_D4.0mm_P2.00mm,,1
470,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
10k,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
10k,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
100n,C3,C_Disc_D5.1mm_W3.2mm_P5.00mm,,1
6k8,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
MCP6004,U1,DIP-14_W7.62mm_Socket,,1
100n,C1,C_Disc_D5.1mm_W3.2mm_P5.00mm,,1
470,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
470,R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
6k8,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
5k,RV1,Potentiometer_Vishay_T93YA_Vertical,,1
100n,C5,C_Disc_D5.1mm_W3.2mm_P5.00mm,,1
5k,RV2,Potentiometer_Vishay_T93YA_Vertical,,1
10u,C6,CP_Radial_D4.0mm_P2.00mm,,1
5k,RV4,Potentiometer_Vishay_T93YA_Vertical,,1
10u,C4,CP_Radial_D4.0mm_P2.00mm,,1
470,R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
1N4734A,D1,D_DO-41_SOD81_P10.16mm_Horizontal,,1
5k,RV3,Potentiometer_Vishay_T93YA_Vertical,,1
DAC Dev Jumper,J8,Pins_1x03_2.54mm_TH,,1
